s_4097	s_4089	s_4082	s_4046	s_4074	s_4032	s_4029	s_4039	s_4031	s_4051	s_4038	s_4087	s_4030	s_4041	s_4028	s_4034	s_4049	s_4057	s_4080	s_4033	s_4100	s_4076	s_4040
s_4097 0 0.00623580 0.00011762 0.01157977 0.01028562 0.00018868 0.00012787 0.00031794 0.00013889 0.01073230 0.01000376 0.00624282 0.00021841 0.00068284 0.00824496 0.00771638 0.01041261 0.00619675 0.01078047 0.00657173 0.00008839 0.01092689 0.00030949
s_4089 0.00623580 0 0.00607024 0.01105422 0.00980216 0.00621669 0.00622315 0.00645306 0.00623295 0.01017987 0.00957704 0.00028341 0.00624412 0.00679321 0.00875275 0.00809922 0.00999808 0.00021680 0.01012389 0.00682129 0.00622943 0.01090094 0.00641899
s_4082 0.00011762 0.00607024 0 0.01144437 0.01017853 0.00021524 0.00016240 0.00035701 0.00018091 0.01063546 0.01023733 0.00606364 0.00025883 0.00071466 0.00829802 0.00772835 0.01029525 0.00615073 0.01072171 0.00658575 0.00012990 0.01085488 0.00035215
s_4046 0.01157977 0.01105422 0.01144437 0 0.00698024 0.01155942 0.01152235 0.01175643 0.01151054 0.00202474 0.00681344 0.01108516 0.01156751 0.01219940 0.00967419 0.01341368 0.00215711 0.01103874 0.00230263 0.01202293 0.01157988 0.00890839 0.01178556
s_4074 0.01028562 0.00980216 0.01017853 0.00698024 0 0.01013513 0.01015904 0.01035224 0.01009277 0.00601892 0.00568269 0.00983591 0.01007894 0.01075661 0.00832356 0.01177283 0.00561671 0.00974053 0.00597450 0.01033778 0.01029042 0.00705406 0.01040647
s_4032 0.00018868 0.00621669 0.00021524 0.01155942 0.01013513 0 0.00023990 0.00048005 0.00026199 0.01052748 0.01036242 0.00626404 0.00035474 0.00080097 0.00824574 0.00763655 0.01036702 0.00623235 0.01071162 0.00668842 0.00021166 0.01081545 0.00044729
s_4029 0.00012787 0.00622315 0.00016240 0.01152235 0.01015904 0.00023990 0 0.00038331 0.00018374 0.01055330 0.01030577 0.00621199 0.00025133 0.00072571 0.00827724 0.00748090 0.01032700 0.00618284 0.01060906 0.00658696 0.00014355 0.01071439 0.00039217
s_4039 0.00031794 0.00645306 0.00035701 0.01175643 0.01035224 0.00048005 0.00038331 0 0.00038874 0.01081181 0.01025231 0.00642784 0.00047740 0.00096620 0.00851122 0.00799185 0.01062443 0.00639620 0.01092656 0.00681878 0.00034151 0.01099852 0.00059048
s_4031 0.00013889 0.00623295 0.00018091 0.01151054 0.01009277 0.00026199 0.00018374 0.00038874 0 0.01056679 0.01034293 0.00622269 0.00028947 0.00074786 0.00834384 0.00757973 0.01040317 0.00618838 0.01070617 0.00660405 0.00015322 0.01077815 0.00038799
s_4051 0.01073230 0.01017987 0.01063546 0.00202474 0.00601892 0.01052748 0.01055330 0.01081181 0.01056679 0 0.00604134 0.01016530 0.01058434 0.01129201 0.00888002 0.01308782 0.00040376 0.01011026 0.00079813 0.01248426 0.01071908 0.00845216 0.01081106
s_4038 0.01000376 0.00957704 0.01023733 0.00681344 0.00568269 0.01036242 0.01030577 0.01025231 0.01034293 0.00604134 0 0.00952246 0.01044755 0.01081584 0.00909464 0.01277806 0.00565000 0.00980995 0.00570398 0.01202569 0.01030941 0.00778091 0.01047263
s_4087 0.00624282 0.00028341 0.00606364 0.01108516 0.00983591 0.00626404 0.00621199 0.00642784 0.00622269 0.01016530 0.00952246 0 0.00620648 0.00678684 0.00883769 0.00808678 0.00994239 0.00019484 0.01006183 0.00683293 0.00624599 0.01089055 0.00642098
s_4030 0.00021841 0.00624412 0.00025883 0.01156751 0.01007894 0.00035474 0.00025133 0.00047740 0.00028947 0.01058434 0.01044755 0.00620648 0 0.00082052 0.00842810 0.00760523 0.01040835 0.00608806 0.01069659 0.00667969 0.00023550 0.01081455 0.00046918
s_4041 0.00068284 0.00679321 0.00071466 0.01219940 0.01075661 0.00080097 0.00072571 0.00096620 0.00074786 0.01129201 0.01081584 0.00678684 0.00082052 0 0.00880148 0.00836398 0.01103559 0.00672288 0.01138231 0.00704772 0.00069454 0.01139788 0.00093793
s_4028 0.00824496 0.00875275 0.00829802 0.00967419 0.00832356 0.00824574 0.00827724 0.00851122 0.00834384 0.00888002 0.00909464 0.00883769 0.00842810 0.00880148 0 0.01076939 0.00879101 0.00878621 0.00864384 0.00986703 0.00835917 0.01000284 0.00858947
s_4034 0.00771638 0.00809922 0.00772835 0.01341368 0.01177283 0.00763655 0.00748090 0.00799185 0.00757973 0.01308782 0.01277806 0.00808678 0.00760523 0.00836398 0.01076939 0 0.01276059 0.00804388 0.01242652 0.00211380 0.00774393 0.01290742 0.00803587
s_4049 0.01041261 0.00999808 0.01029525 0.00215711 0.00561671 0.01036702 0.01032700 0.01062443 0.01040317 0.00040376 0.00565000 0.00994239 0.01040835 0.01103559 0.00879101 0.01276059 0 0.00990393 0.00097224 0.01184650 0.01037879 0.00819900 0.01063549
s_4057 0.00619675 0.00021680 0.00615073 0.01103874 0.00974053 0.00623235 0.00618284 0.00639620 0.00618838 0.01011026 0.00980995 0.00019484 0.00608806 0.00672288 0.00878621 0.00804388 0.00990393 0 0.01002422 0.00675089 0.00619926 0.01075825 0.00638655
s_4080 0.01078047 0.01012389 0.01072171 0.00230263 0.00597450 0.01071162 0.01060906 0.01092656 0.01070617 0.00079813 0.00570398 0.01006183 0.01069659 0.01138231 0.00864384 0.01242652 0.00097224 0.01002422 0 0.01102090 0.01076071 0.00800606 0.01093586
s_4033 0.00657173 0.00682129 0.00658575 0.01202293 0.01033778 0.00668842 0.00658696 0.00681878 0.00660405 0.01248426 0.01202569 0.00683293 0.00667969 0.00704772 0.00986703 0.00211380 0.01184650 0.00675089 0.01102090 0 0.00657369 0.01199331 0.00683744
s_4100 0.00008839 0.00622943 0.00012990 0.01157988 0.01029042 0.00021166 0.00014355 0.00034151 0.00015322 0.01071908 0.01030941 0.00624599 0.00023550 0.00069454 0.00835917 0.00774393 0.01037879 0.00619926 0.01076071 0.00657369 0 0.01095138 0.00032932
s_4076 0.01092689 0.01090094 0.01085488 0.00890839 0.00705406 0.01081545 0.01071439 0.01099852 0.01077815 0.00845216 0.00778091 0.01089055 0.01081455 0.01139788 0.01000284 0.01290742 0.00819900 0.01075825 0.00800606 0.01199331 0.01095138 0 0.01104044
s_4040 0.00030949 0.00641899 0.00035215 0.01178556 0.01040647 0.00044729 0.00039217 0.00059048 0.00038799 0.01081106 0.01047263 0.00642098 0.00046918 0.00093793 0.00858947 0.00803587 0.01063549 0.00638655 0.01093586 0.00683744 0.00032932 0.01104044 0
